,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
2851,0,Information,Female,Total,Total,Item not reported,0,D,0,0
2852,3720176,Information,Male,Total,Total,All firms,3784,,0,56004
2853,67995,Information,Male,Total,Total,Family-owned,320,,0,1916
2854,421198,Information,Male,Total,Total,Not family-owned,1206,,0,7792
2855,489193,Information,Male,Total,Total,Total reporting,1525,,0,9708
2856,43172,Information,Male,Total,Total,Item not reported,114,,0,805
2857,6498,Information,Equally male/female,Total,Total,All firms,25,,0,74
2858,0,Information,Equally male/female,Total,Total,Family-owned,0,S,0,0
2859,0,Information,Equally male/female,Total,Total,Total reporting,0,S,0,0
2860,77644,Information,Total,Hispanic,Total,All firms,37,,0,1033
2861,2998,Information,Total,Hispanic,Total,Not family-owned,8,,0,59
2862,2998,Information,Total,Hispanic,Total,Total reporting,8,,0,59
2863,0,Information,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,D,0,0
2864,0,Information,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
2865,0,Information,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
2866,3665358,Information,Total,Non-Hispanic,Total,All firms,3827,,0,55453
2867,68053,Information,Total,Non-Hispanic,Total,Family-owned,333,,0,1929
2868,424448,Information,Total,Non-Hispanic,Total,Not family-owned,1222,,0,7868
2869,492501,Information,Total,Non-Hispanic,Total,Total reporting,1553,,0,9798
2870,43874,Information,Total,Non-Hispanic,Total,Item not reported,116,,0,816
2871,0,Information,Total,Total,Minority,All firms,0,S,0,0
2872,0,Information,Total,Total,Minority,Family-owned,0,D,0,0
2873,11877,Information,Total,Total,Minority,Not family-owned,31,,0,279
2874,12142,Information,Total,Total,Minority,Total reporting,33,,0,288
2875,20406,Information,Total,Total,Minority,Item not reported,7,,0,281
2876,18615,Information,Total,Total,Equally minority/nonminority,All firms,29,,0,205
2877,0,Information,Total,Total,Equally minority/nonminority,Family-owned,0,D,0,0
2878,0,Information,Total,Total,Equally minority/nonminority,Not family-owned,0,D,0,0
2879,2217,Information,Total,Total,Equally minority/nonminority,Total reporting,16,,0,53
2880,0,Information,Total,Total,Equally minority/nonminority,Item not reported,0,D,0,0
2881,3457936,Information,Total,Total,Nonminority,All firms,3653,,0,52419
2882,67788,Information,Total,Total,Nonminority,Family-owned,331,,0,1920
2883,413594,Information,Total,Total,Nonminority,Not family-owned,1194,,0,7596
2884,481383,Information,Total,Total,Nonminority,Total reporting,1524,,0,9516
2885,0,Information,Total,Total,Nonminority,Item not reported,0,S,0,0
2886,623285,Information,Total,Total,Total,All firms,1599,,0,11969
2887,0,Information,Total,Total,Total,Family-owned,0,S,0,0
2888,91369,Information,Total,Total,Total,Not family-owned,142,,0,1973
2889,273174,Information,Total,Total,Total,Total reporting,525,,0,5138
2890,9617,Information,Total,Total,Total,Item not reported,142,,0,302
2891,0,Information,Female,Total,Total,All firms,0,S,0,0
2892,0,Information,Female,Total,Total,Family-owned,0,D,0,0
2893,0,Information,Female,Total,Total,Not family-owned,0,D,0,0
2894,0,Information,Female,Total,Total,Total reporting,0,D,0,0
2895,257701,Information,Male,Total,Total,All firms,536,,0,5305
2896,0,Information,Male,Total,Total,Family-owned,0,S,0,0
2897,88095,Information,Male,Total,Total,Not family-owned,110,,0,1903
2898,122030,Information,Male,Total,Total,Total reporting,146,,0,2400
2899,0,Information,Male,Total,Total,Item not reported,0,S,0,0
2900,362966,Information,Equally male/female,Total,Total,All firms,1044,,0,6623
2901,0,Information,Equally male/female,Total,Total,Family-owned,0,S,0,0
2902,2598,Information,Equally male/female,Total,Total,Not family-owned,28,,0,56
2903,0,Information,Equally male/female,Total,Total,Total reporting,0,S,0,0
2904,8627,Information,Equally male/female,Total,Total,Item not reported,91,,0,216
2905,0,Information,Total,Hispanic,Total,All firms,0,S,0,0
2906,0,Information,Total,Hispanic,Total,Family-owned,0,D,0,0
2907,0,Information,Total,Hispanic,Total,Total reporting,0,D,0,0
2908,0,Information,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
2909,0,Information,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,S,0,0
2910,0,Information,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,S,0,0
2911,616754,Information,Total,Non-Hispanic,Total,All firms,1551,,0,11856
2912,0,Information,Total,Non-Hispanic,Total,Family-owned,0,S,0,0
2913,91369,Information,Total,Non-Hispanic,Total,Not family-owned,142,,0,1973
2914,271629,Information,Total,Non-Hispanic,Total,Total reporting,509,,0,5073
2915,9617,Information,Total,Non-Hispanic,Total,Item not reported,142,,0,302
2916,0,Information,Total,Total,Minority,All firms,0,S,0,0
2917,0,Information,Total,Total,Minority,Family-owned,0,S,0,0
2918,0,Information,Total,Total,Minority,Total reporting,0,S,0,0
2919,0,Information,Total,Total,Equally minority/nonminority,All firms,0,S,0,0
2920,0,Information,Total,Total,Equally minority/nonminority,Family-owned,0,S,0,0
2921,0,Information,Total,Total,Equally minority/nonminority,Not family-owned,0,D,0,0
2922,0,Information,Total,Total,Equally minority/nonminority,Total reporting,0,S,0,0
2923,610981,Information,Total,Total,Nonminority,All firms,1507,,0,11629
2924,0,Information,Total,Total,Nonminority,Family-owned,0,S,0,0
2925,91165,Information,Total,Total,Nonminority,Not family-owned,130,,0,1962
2926,271155,Information,Total,Total,Nonminority,Total reporting,494,,0,5046
2927,9617,Information,Total,Total,Nonminority,Item not reported,142,,0,302
2928,89870880,Information,Total,Total,Total,All firms,67822,,0,1014678
2929,2413677,Information,Total,Total,Total,Family-owned,7232,,0,48776
2930,9317759,Information,Total,Total,Total,Not family-owned,19950,,0,140470
2931,11731436,Information,Total,Total,Total,Total reporting,27180,,0,189246
2932,468806,Information,Total,Total,Total,Item not reported,1093,,0,7690
2933,7299086,Information,Female,Total,Total,All firms,10912,,0,107431
2934,346308,Information,Female,Total,Total,Family-owned,1289,,0,9101
2935,797980,Information,Female,Total,Total,Not family-owned,3096,,0,15179
2936,1144288,Information,Female,Total,Total,Total reporting,4385,,0,24281
2937,60234,Information,Female,Total,Total,Item not reported,221,,0,1592
2938,78427356,Information,Male,Total,Total,All firms,48198,,0,842649
2939,1286221,Information,Male,Total,Total,Family-owned,2811,,0,24519
2940,8417969,Information,Male,Total,Total,Not family-owned,16437,,0,123737
2941,9704189,Information,Male,Total,Total,Total reporting,19248,,0,148256
2942,367627,Information,Male,Total,Total,Item not reported,733,,0,5183
2943,4144438,Information,Equally male/female,Total,Total,All firms,8712,,0,64598
2944,781148,Information,Equally male/female,Total,Total,Family-owned,3133,,0,15156
2945,101810,Information,Equally male/female,Total,Total,Not family-owned,416,,0,1554
2946,882958,Information,Equally male/female,Total,Total,Total reporting,3548,,0,16710
2947,40945,Information,Equally male/female,Total,Total,Item not reported,138,,0,915
2948,1098881,Information,Total,Hispanic,Total,All firms,2827,,0,22980
2949,89554,Information,Total,Hispanic,Total,Family-owned,336,,0,2358
2950,131642,Information,Total,Hispanic,Total,Not family-owned,771,,0,3896
2951,221196,Information,Total,Hispanic,Total,Total reporting,1106,,0,6254
2952,2886,Information,Total,Hispanic,Total,Item not reported,45,,0,81
2953,184463,Information,Total,Equally Hispanic/non-Hispanic,Total,All firms,660,,0,2601
2954,12931,Information,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,136,,0,178
2955,34489,Information,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,132,,0,891
2956,47420,Information,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,268,,0,1068
2957,0,Information,Total,Equally Hispanic/non-Hispanic,Total,Item not reported,0,D,0,0
2958,88587536,Information,Total,Non-Hispanic,Total,All firms,64334,,0,989097
2959,2311192,Information,Total,Non-Hispanic,Total,Family-owned,6761,,0,46240
2960,9151628,Information,Total,Non-Hispanic,Total,Not family-owned,19046,,0,135684
2961,11462821,Information,Total,Non-Hispanic,Total,Total reporting,25807,,0,181924
2962,465872,Information,Total,Non-Hispanic,Total,Item not reported,1046,,0,7607
2963,6346601,Information,Total,Total,Minority,All firms,10346,,0,93220
2964,180499,Information,Total,Total,Minority,Family-owned,835,,0,4785
2965,798728,Information,Total,Total,Minority,Not family-owned,2707,,0,16222
2966,979226,Information,Total,Total,Minority,Total reporting,3541,,0,21007
2967,27981,Information,Total,Total,Minority,Item not reported,163,,0,658
2968,1033281,Information,Total,Total,Equally minority/nonminority,All firms,1409,,0,10177
2969,30689,Information,Total,Total,Equally minority/nonminority,Family-owned,249,,0,444
2970,125872,Information,Total,Total,Equally minority/nonminority,Not family-owned,307,,0,1538
2971,156561,Information,Total,Total,Equally minority/nonminority,Total reporting,555,,0,1982
2972,0,Information,Total,Total,Equally minority/nonminority,Item not reported,0,S,0,0
2973,82490998,Information,Total,Total,Nonminority,All firms,56067,,0,911281
2974,2202489,Information,Total,Total,Nonminority,Family-owned,6148,,0,43547
2975,8393160,Information,Total,Total,Nonminority,Not family-owned,16937,,0,122710
2976,10595649,Information,Total,Total,Nonminority,Total reporting,23086,,0,166257
2977,438780,Information,Total,Total,Nonminority,Item not reported,913,,0,6987
2978,94243213,Information,Classifiable,Classifiable,Classifiable,All firms,73302,,0,1083153
2979,0,Information,Classifiable,Classifiable,Classifiable,Family-owned,0,S,0,0
2980,0,Information,Classifiable,Classifiable,Classifiable,Not family-owned,0,S,0,0
2981,0,Information,Classifiable,Classifiable,Classifiable,Total reporting,0,S,0,0
2982,0,Information,Classifiable,Classifiable,Classifiable,Item not reported,0,S,0,0
2983,296189818,Information,Unclassifiable,Unclassifiable,Unclassifiable,All firms,8315,,0,2590012
2984,S,Information,Unclassifiable,Unclassifiable,Unclassifiable,N/A2018,S,0.0,S,m
2985,681850345,Finance and insurance,Total,Total,Total,All firms,237033,,0,6643953
2986,9857311,Finance and insurance,Total,Total,Total,Family-owned,28503,,0,162459
2987,41352205,Finance and insurance,Total,Total,Total,Not family-owned,97046,,0,438259
2988,51209516,Finance and insurance,Total,Total,Total,Total reporting,125550,,0,600718
2989,1530521,Finance and insurance,Total,Total,Total,Item not reported,6417,,0,28439
2990,,Finance and insurance,Total,Total,Total,N/A2018,,0.0,W,
2991,10863374,Finance and insurance,Female,Total,Total,All firms,38845,,0,178485
2992,1066403,Finance and insurance,Female,Total,Total,Family-owned,3521,,0,18762
2993,2581761,Finance and insurance,Female,Total,Total,Not family-owned,18726,,0,58009
2994,3648164,Finance and insurance,Female,Total,Total,Total reporting,22246,,0,76771
2995,130470,Finance and insurance,Female,Total,Total,Item not reported,1061,,0,3686
2996,127735281,Finance and insurance,Male,Total,Total,All firms,161583,,0,1387015
2997,6222479,Finance and insurance,Male,Total,Total,Family-owned,12535,,0,93060
2998,38371455,Finance and insurance,Male,Total,Total,Not family-owned,77003,,0,374573
2999,44593934,Finance and insurance,Male,Total,Total,Total reporting,89539,,0,467632
3000,1354732,Finance and insurance,Male,Total,Total,Item not reported,5026,,0,24030
3001,6766894,Finance and insurance,Equally male/female,Total,Total,All firms,23552,,0,115848
3002,2568429,Finance and insurance,Equally male/female,Total,Total,Family-owned,12447,,0,50637
3003,398989,Finance and insurance,Equally male/female,Total,Total,Not family-owned,1319,,0,5677
3004,2967418,Finance and insurance,Equally male/female,Total,Total,Total reporting,13766,,0,56314
3005,45319,Finance and insurance,Equally male/female,Total,Total,Item not reported,330,,0,724
3006,3025923,Finance and insurance,Total,Hispanic,Total,All firms,10685,,0,54816
3007,414848,Finance and insurance,Total,Hispanic,Total,Family-owned,1162,,0,7310
3008,740300,Finance and insurance,Total,Hispanic,Total,Not family-owned,4510,,0,19788
3009,1155149,Finance and insurance,Total,Hispanic,Total,Total reporting,5672,,0,27098
3010,28065,Finance and insurance,Total,Hispanic,Total,Item not reported,300,,0,749
3011,822049,Finance and insurance,Female,Hispanic,Total,All firms,3166,,0,17461
3012,280365,Finance and insurance,Female,Hispanic,Total,Family-owned,282,,0,3912
3013,198896,Finance and insurance,Female,Hispanic,Total,Not family-owned,1349,,0,6364
3014,479261,Finance and insurance,Female,Hispanic,Total,Total reporting,1631,,0,10276
3015,17207,Finance and insurance,Female,Hispanic,Total,Item not reported,150,,0,509
3016,2021718,Finance and insurance,Male,Hispanic,Total,All firms,6370,,0,33443
3017,68469,Finance and insurance,Male,Hispanic,Total,Family-owned,370,,0,1749
3018,539995,Finance and insurance,Male,Hispanic,Total,Not family-owned,3072,,0,13363
3019,608464,Finance and insurance,Male,Hispanic,Total,Total reporting,3442,,0,15112
3020,0,Finance and insurance,Male,Hispanic,Total,Item not reported,0,S,0,0
3021,182155,Finance and insurance,Equally male/female,Hispanic,Total,All firms,1148,,0,3911
3022,66014,Finance and insurance,Equally male/female,Hispanic,Total,Family-owned,510,,0,1650
3023,0,Finance and insurance,Equally male/female,Hispanic,Total,Not family-owned,0,S,0,0
3024,67424,Finance and insurance,Equally male/female,Hispanic,Total,Total reporting,600,,0,1710
3025,399547,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,All firms,1623,,0,7163
3026,107179,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,624,,0,2115
3027,0,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,S,0,0
3028,275086,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,863,,0,4095
3029,0,Finance and insurance,Female,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
3030,0,Finance and insurance,Female,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
3031,0,Finance and insurance,Female,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,D,0,0
3032,0,Finance and insurance,Female,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
3033,0,Finance and insurance,Male,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
3034,0,Finance and insurance,Male,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,S,0,0
3035,0,Finance and insurance,Male,Equally Hispanic/non-Hispanic,Total,Total reporting,0,S,0,0
3036,175628,Finance and insurance,Equally male/female,Equally Hispanic/non-Hispanic,Total,All firms,1109,,0,3356
3037,100549,Finance and insurance,Equally male/female,Equally Hispanic/non-Hispanic,Total,Family-owned,594,,0,1905
3038,0,Finance and insurance,Equally male/female,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,D,0,0
3039,114529,Finance and insurance,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total reporting,624,,0,1995
3040,141940080,Finance and insurance,Total,Non-Hispanic,Total,All firms,211670,,0,1619369
3041,9335285,Finance and insurance,Total,Non-Hispanic,Total,Family-owned,26717,,0,153034
3042,40443996,Finance and insurance,Total,Non-Hispanic,Total,Not family-owned,92296,,0,416491
3043,49779281,Finance and insurance,Total,Non-Hispanic,Total,Total reporting,119013,,0,569525
3044,1502456,Finance and insurance,Total,Non-Hispanic,Total,Item not reported,6117,,0,27690
3045,10007741,Finance and insurance,Female,Non-Hispanic,Total,All firms,35552,,0,160279
3046,779409,Finance and insurance,Female,Non-Hispanic,Total,Family-owned,3209,,0,14641
3047,2376806,Finance and insurance,Female,Non-Hispanic,Total,Not family-owned,17347,,0,51554
3048,3156214,Finance and insurance,Female,Non-Hispanic,Total,Total reporting,20556,,0,66195
3049,113262,Finance and insurance,Female,Non-Hispanic,Total,Item not reported,911,,0,3176
3050,125523229,Finance and insurance,Male,Non-Hispanic,Total,All firms,154825,,0,1350509
3051,6154010,Finance and insurance,Male,Non-Hispanic,Total,Family-owned,12165,,0,91310
3052,37683592,Finance and insurance,Male,Non-Hispanic,Total,Not family-owned,73751,,0,359410
3053,43837601,Finance and insurance,Male,Non-Hispanic,Total,Total reporting,85917,,0,450720
3054,1343874,Finance and insurance,Male,Non-Hispanic,Total,Item not reported,4876,,0,23790
3055,6409110,Finance and insurance,Equally male/female,Non-Hispanic,Total,All firms,21295,,0,108580
3056,2401866,Finance and insurance,Equally male/female,Non-Hispanic,Total,Family-owned,11343,,0,47083
3057,383599,Finance and insurance,Equally male/female,Non-Hispanic,Total,Not family-owned,1199,,0,5527
3058,2785465,Finance and insurance,Equally male/female,Non-Hispanic,Total,Total reporting,12542,,0,52610
3059,45319,Finance and insurance,Equally male/female,Non-Hispanic,Total,Item not reported,330,,0,724
3060,140618643,Finance and insurance,Total,Total,White,All firms,209481,,0,1611609
3061,9735144,Finance and insurance,Total,Total,White,Family-owned,27123,,0,159001
3062,40382928,Finance and insurance,Total,Total,White,Not family-owned,91700,,0,422220
3063,50118072,Finance and insurance,Total,Total,White,Total reporting,118824,,0,581221
3064,1509171,Finance and insurance,Total,Total,White,Item not reported,6109,,0,27807
3065,1031060,Finance and insurance,Total,Total,Black or African American,All firms,5637,,0,20742
3066,42685,Finance and insurance,Total,Total,Black or African American,Family-owned,460,,0,1559
3067,356265,Finance and insurance,Total,Total,Black or African American,Not family-owned,1918,,0,7221
3068,398950,Finance and insurance,Total,Total,Black or African American,Total reporting,2378,,0,8780
3069,0,Finance and insurance,Total,Total,Black or African American,Item not reported,0,S,0,0
3070,186282,Finance and insurance,Total,Total,American Indian and Alaska Native,All firms,1036,,0,3265
3071,0,Finance and insurance,Total,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
3072,40662,Finance and insurance,Total,Total,American Indian and Alaska Native,Not family-owned,500,,0,1115
3073,48717,Finance and insurance,Total,Total,American Indian and Alaska Native,Total reporting,580,,0,1455
3074,0,Finance and insurance,Total,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
3075,3115859,Finance and insurance,Total,Total,Asian,All firms,8718,,0,44379
3076,67035,Finance and insurance,Total,Total,Asian,Family-owned,780,,0,1650
3077,543499,Finance and insurance,Total,Total,Asian,Not family-owned,3493,,0,8961
3078,610534,Finance and insurance,Total,Total,Asian,Total reporting,4273,,0,10611
3079,0,Finance and insurance,Total,Total,Asian,Item not reported,0,S,0,0
3080,0,Finance and insurance,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,0,S,0,0
3081,0,Finance and insurance,Total,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,D,0,0
3082,0,Finance and insurance,Total,Total,Native Hawaiian and Other Pacific Islander,Not family-owned,0,S,0,0
3083,0,Finance and insurance,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,S,0,0
3084,7551114,Finance and insurance,Total,Total,Minority,All firms,25736,,0,123501
3085,531668,Finance and insurance,Total,Total,Minority,Family-owned,2471,,0,10758
3086,1684605,Finance and insurance,Total,Total,Minority,Not family-owned,10322,,0,37136
3087,2216273,Finance and insurance,Total,Total,Minority,Total reporting,12794,,0,47894
3088,48514,Finance and insurance,Total,Total,Minority,Item not reported,550,,0,1286
3089,1656408,Finance and insurance,Female,Total,Minority,All firms,7387,,0,31979
3090,298407,Finance and insurance,Female,Total,Minority,Family-owned,472,,0,4481
3091,365934,Finance and insurance,Female,Total,Minority,Not family-owned,2883,,0,10744
3092,664341,Finance and insurance,Female,Total,Minority,Total reporting,3355,,0,15224
3093,30704,Finance and insurance,Female,Total,Minority,Item not reported,270,,0,899
3094,5184874,Finance and insurance,Male,Total,Minority,All firms,15868,,0,81840
3095,121695,Finance and insurance,Male,Total,Minority,Family-owned,939,,0,3219
3096,1306161,Finance and insurance,Male,Total,Minority,Not family-owned,7199,,0,26092
3097,1427856,Finance and insurance,Male,Total,Minority,Total reporting,8138,,0,29311
3098,0,Finance and insurance,Male,Total,Minority,Item not reported,0,S,0,0
3099,709831,Finance and insurance,Equally male/female,Total,Minority,All firms,2481,,0,9682
3100,111567,Finance and insurance,Equally male/female,Total,Minority,Family-owned,1060,,0,3059
3101,12509,Finance and insurance,Equally male/female,Total,Minority,Not family-owned,240,,0,300
3102,124076,Finance and insurance,Equally male/female,Total,Minority,Total reporting,1300,,0,3359
3103,0,Finance and insurance,Equally male/female,Total,Minority,Item not reported,0,D,0,0
3104,852468,Finance and insurance,Total,Total,Equally minority/nonminority,All firms,2457,,0,11388
3105,125380,Finance and insurance,Total,Total,Equally minority/nonminority,Family-owned,804,,0,2275
3106,308396,Finance and insurance,Total,Total,Equally minority/nonminority,Not family-owned,500,,0,3080
3107,433776,Finance and insurance,Total,Total,Equally minority/nonminority,Total reporting,1304,,0,5354
3108,0,Finance and insurance,Total,Total,Equally minority/nonminority,Item not reported,0,D,0,0
3109,0,Finance and insurance,Female,Total,Equally minority/nonminority,All firms,0,S,0,0
3110,0,Finance and insurance,Female,Total,Equally minority/nonminority,Family-owned,0,D,0,0
3111,0,Finance and insurance,Female,Total,Equally minority/nonminority,Not family-owned,0,D,0,0
3112,0,Finance and insurance,Female,Total,Equally minority/nonminority,Total reporting,0,D,0,0
3113,0,Finance and insurance,Male,Total,Equally minority/nonminority,All firms,0,S,0,0
3114,286197,Finance and insurance,Male,Total,Equally minority/nonminority,Not family-owned,370,,0,2800
3115,286197,Finance and insurance,Male,Total,Equally minority/nonminority,Total reporting,370,,0,2800
3116,0,Finance and insurance,Male,Total,Equally minority/nonminority,Item not reported,0,D,0,0
3117,0,Finance and insurance,Equally male/female,Total,Equally minority/nonminority,All firms,0,S,0,0
3118,118751,Finance and insurance,Equally male/female,Total,Equally minority/nonminority,Family-owned,774,,0,2065
3119,0,Finance and insurance,Equally male/female,Total,Equally minority/nonminority,Not family-owned,0,S,0,0
3120,134890,Finance and insurance,Equally male/female,Total,Equally minority/nonminority,Total reporting,874,,0,2255
3121,0,Finance and insurance,Equally male/female,Total,Equally minority/nonminority,Item not reported,0,D,0,0
3122,136961968,Finance and insurance,Total,Total,Nonminority,All firms,195787,,0,1546459
3123,9200263,Finance and insurance,Total,Total,Nonminority,Family-owned,25227,,0,149426
3124,39359204,Finance and insurance,Total,Total,Nonminority,Not family-owned,86225,,0,398043
3125,48559468,Finance and insurance,Total,Total,Nonminority,Total reporting,111451,,0,547470
3126,1478768,Finance and insurance,Total,Total,Nonminority,Item not reported,5807,,0,27064
3127,9173381,Finance and insurance,Female,Total,Nonminority,All firms,31331,,0,145762
3128,761367,Finance and insurance,Female,Total,Nonminority,Family-owned,3019,,0,14072
3129,2209767,Finance and insurance,Female,Total,Nonminority,Not family-owned,15812,,0,47175
3130,2971135,Finance and insurance,Female,Total,Nonminority,Total reporting,18831,,0,61247
3131,99766,Finance and insurance,Female,Total,Nonminority,Item not reported,791,,0,2786
3132,122049313,Finance and insurance,Male,Total,Nonminority,All firms,145000,,0,1300385
3133,6100784,Finance and insurance,Male,Total,Nonminority,Family-owned,11596,,0,89841
3134,36779097,Finance and insurance,Male,Total,Nonminority,Not family-owned,69433,,0,345681
3135,42879881,Finance and insurance,Male,Total,Nonminority,Total reporting,81029,,0,435522
3136,1338571,Finance and insurance,Male,Total,Nonminority,Item not reported,4775,,0,23674
3137,5739274,Finance and insurance,Equally male/female,Total,Nonminority,All firms,19458,,0,100312
3138,2338112,Finance and insurance,Equally male/female,Total,Nonminority,Family-owned,10613,,0,45514
3139,370340,Finance and insurance,Equally male/female,Total,Nonminority,Not family-owned,979,,0,5187
3140,2708452,Finance and insurance,Equally male/female,Total,Nonminority,Total reporting,11592,,0,50700
3141,40431,Finance and insurance,Equally male/female,Total,Nonminority,Item not reported,240,,0,604
3142,8996148,Finance and insurance,Total,Total,Total,All firms,19719,,0,123272
3143,339887,Finance and insurance,Total,Total,Total,Family-owned,1389,,0,6645
3144,1772760,Finance and insurance,Total,Total,Total,Not family-owned,9336,,0,33772
3145,2112647,Finance and insurance,Total,Total,Total,Total reporting,10726,,0,40417
3146,0,Finance and insurance,Total,Total,Total,Item not reported,0,S,0,0
3147,53887,Finance and insurance,Female,Total,Total,All firms,335,,0,1198
3148,0,Finance and insurance,Female,Total,Total,Family-owned,0,D,0,0
3149,21241,Finance and insurance,Female,Total,Total,Not family-owned,200,,0,719
3150,35399,Finance and insurance,Female,Total,Total,Total reporting,230,,0,959
3151,8910012,Finance and insurance,Male,Total,Total,All firms,19177,,0,121502
3152,321572,Finance and insurance,Male,Total,Total,Family-owned,1279,,0,6205
3153,1751519,Finance and insurance,Male,Total,Total,Not family-owned,9137,,0,33053
3154,2073091,Finance and insurance,Male,Total,Total,Total reporting,10416,,0,39258
3155,0,Finance and insurance,Male,Total,Total,Item not reported,0,S,0,0
3156,32250,Finance and insurance,Equally male/female,Total,Total,All firms,207,,0,572
3157,0,Finance and insurance,Equally male/female,Total,Total,Family-owned,0,D,0,0
3158,0,Finance and insurance,Equally male/female,Total,Total,Total reporting,0,D,0,0
3159,0,Finance and insurance,Total,Hispanic,Total,All firms,0,S,0,0
3160,0,Finance and insurance,Total,Hispanic,Total,Family-owned,0,S,0,0
3161,33919,Finance and insurance,Total,Hispanic,Total,Not family-owned,258,,0,1313
3162,0,Finance and insurance,Total,Hispanic,Total,Total reporting,0,S,0,0
3163,0,Finance and insurance,Total,Hispanic,Total,Item not reported,0,D,0,0
3164,0,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
3165,0,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
3166,0,Finance and insurance,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
3167,8910317,Finance and insurance,Total,Non-Hispanic,Total,All firms,18951,,0,120646
3168,316947,Finance and insurance,Total,Non-Hispanic,Total,Family-owned,1259,,0,6205
3169,1738841,Finance and insurance,Total,Non-Hispanic,Total,Not family-owned,9079,,0,32459
3170,2055788,Finance and insurance,Total,Non-Hispanic,Total,Total reporting,10338,,0,38665
3171,0,Finance and insurance,Total,Non-Hispanic,Total,Item not reported,0,S,0,0
3172,0,Finance and insurance,Total,Total,Minority,All firms,0,S,0,0
3173,0,Finance and insurance,Total,Total,Minority,Family-owned,0,S,0,0
3174,46280,Finance and insurance,Total,Total,Minority,Not family-owned,527,,0,1821
3175,71295,Finance and insurance,Total,Total,Minority,Total reporting,687,,0,2361
3176,0,Finance and insurance,Total,Total,Minority,Item not reported,0,D,0,0
3177,0,Finance and insurance,Total,Total,Equally minority/nonminority,All firms,0,S,0,0
3178,0,Finance and insurance,Total,Total,Equally minority/nonminority,Family-owned,0,D,0,0
3179,0,Finance and insurance,Total,Total,Equally minority/nonminority,Not family-owned,0,D,0,0
3180,0,Finance and insurance,Total,Total,Equally minority/nonminority,Total reporting,0,D,0,0
3181,8649993,Finance and insurance,Total,Total,Nonminority,All firms,18182,,0,117794
3182,313591,Finance and insurance,Total,Total,Nonminority,Family-owned,1189,,0,6025
3183,1703733,Finance and insurance,Total,Total,Nonminority,Not family-owned,8770,,0,31791
3184,2017324,Finance and insurance,Total,Total,Nonminority,Total reporting,9959,,0,37816
3185,0,Finance and insurance,Total,Total,Nonminority,Item not reported,0,S,0,0
3186,2842651,Finance and insurance,Total,Total,Total,All firms,5307,,0,35131
3187,293361,Finance and insurance,Total,Total,Total,Family-owned,2028,,0,5245
3188,249762,Finance and insurance,Total,Total,Total,Not family-owned,729,,0,2764
3189,543123,Finance and insurance,Total,Total,Total,Total reporting,2757,,0,8009
3190,0,Finance and insurance,Total,Total,Total,Item not reported,0,S,0,0
3191,1935519,Finance and insurance,Male,Total,Total,All firms,1435,,0,17742
3192,0,Finance and insurance,Male,Total,Total,Family-owned,0,S,0,0
3193,218605,Finance and insurance,Male,Total,Total,Not family-owned,529,,0,2105
3194,256513,Finance and insurance,Male,Total,Total,Total reporting,739,,0,2704
3195,0,Finance and insurance,Male,Total,Total,Item not reported,0,D,0,0
3196,907103,Finance and insurance,Equally male/female,Total,Total,All firms,3870,,0,17390
3197,255453,Finance and insurance,Equally male/female,Total,Total,Family-owned,1818,,0,4646
3198,0,Finance and insurance,Equally male/female,Total,Total,Not family-owned,0,S,0,0
3199,286609,Finance and insurance,Equally male/female,Total,Total,Total reporting,2018,,0,5305
